,45c82f0f888d46efb97087e7880b781e,365522896e3a4ccc90708a53596cebc5,eba2e080d1f74bbea6058511f0e77df8,979274be310c4f5e9d8ce6130feba39d,5988e9eae5054dcf91a8ca8a2f0091ef,8e97623f22ba4aab8faf9b47c9ff262b,7cd381969b134819831707f742a1874a,db607f30378d4255a2833f80e3268a28,f859b09a62604641b622eeee855d03e4,9c9f2012425c413680249415ffb9ed38,0db45b1791504bc99ec48d966c60a4c0,cdb6c5900b8a471ca508f59ebeba72b8,cf86a682705c4b04bf5c8783bd29126c,0e7d5de1370e490aacad639dea9c9168,2f33022c2e98444182b2e14fcf3458f4,8e19b075bc1e4bdc85609f44beaf45d0,e5f201d4c2e1442994e2c099c4645af6,d30d64d50d3843f9a977e8cbabd50e22,0ec52070f4fa48c5853711ef9e0219ca,1aba2d17f9a6401a935bc82e19f3f733,3fc84ce7c68f4c68bc86a048500cf3bd,9fb146447d254de5a4b0ce44ffcb16b7,3e578e603abc4b9782e47a03bc580fb4,94ca3ad739e044d398d27732aed7c782,d44785df48ee4f2ea0ee316a448134b9,93cffc3c050a447dab3ddfc86f19f1d3,051adf651cc24224bd30b3112b6412f0,2afccca99a9c4451a4f348a102401aec,98e6c1f561444abf8d40b73a70cace03,fc5b336ee8a84da9a424023e191ad8e3,84b809309ab84bdbbe14d7daa02c1bf3,efb5a0f8406a417183da138a6ca51c51,9511baa5c0984ec5812a0701ac7c4f9c,5b8a929b75aa44789760e4c2174a50f5,60974262258e4e7890f96f58c2b3a97d,cd7676427e8a4285b87c542329a67396,ee3c5e3a7fa34584a53f8f6dd03a87fb,d23a2b5a39f945239eec2db2d57d8854,973875a280eb43dfb2a26865cef2043e,201c18b2770a4a57bc9a826da89e2a39,358d9f4ebbdf45d6904525e80ee3cfc3,a7fa8b5898d241369ca5984fc5d01d3c,e82ad5d7f1f045cd84bb21a17d98d88b,48964af3a69e4278ab51225e0241c407,b911a722773245bbaaebc7f5a113a76b,dedc99d099b84ff0a89c5dbc94b7d1dd,6249a6e3215048fa910cf76346d1410f,09da314d4d9e478aaa0f1f02ab45d597,1d2f749a2c6b4ba5b65432b62469ffcd,78e7fa390bec4368a74470491078f087,f1766c3131da46e4b3e89fbd182d43c4,1cbfc9a1602c490a9b53ac9a944c07dc,01d86954bb384915b30a5f6b1d7af50c,3ee38610748f4af6801f4cca3a155aa6,447b705589d84b8e8af891d23ba80877,58caed9424ac4a998915f7b30580c14b
e540185eccc84136a98da005f606687f,0.00032048206510022233,0.02105334846237915,0.00032048206510022233,0.0001412595867999367,0.13643714579455823,0.00020388318626668987,0.013216435695488303,0.00020388318626668987,0.07017447171346172,0.11508079899675423,0.00024296750002637845,0.05427972009979406,0.01843226731330422,0.08978445314662921,0.00017389890636190252,0.11826176110034907,0.00040482083558114715,0.05427972009979406,0.014159639885095934,0.0003747534883378252,0.09180254119891014,0.00017180482746924035,0.05654804381251655,0.0002935069362626366,0.1192013915824695,0.02461412956761625,0.05427972009979406,0.0003035522221610271,,0.0767327130551848,0.00024296750002637845,0.0001612221303013858,0.0001382191465747728,0.09289347183881426,0.10940479527355536,0.07719415191977165,0.00015408958105103457,0.1192013915824695,0.059675708827798594,0.00013727180297750315,0.05427972009979406,0.03973070216566697,0.00013324903391467424,0.05427972009979406,0.03842469353613735,0.08844208368522197,0.00013324903391467424,0.0004402523591488407,0.01852034484886757,0.05427972009979406,0.00018518094415525583,0.00031155752962494515,0.01669743302429517,0.14044136240524915,0.345899784338513,0.07148765354985001
f4745922ccb04b189b6e9c9d2a21b8ee,0.00013958876730245617,3.156779108259941e-05,0.00013958876730245617,6.152684888900448e-05,8.332719653425321e-05,0.08177412846660705,0.0703328318863516,0.08177412846660705,0.07470594561718051,0.00011336662677022085,0.0001058266203215942,0.023642006974347065,0.02768339993196103,0.13277407685617668,7.574319008058086e-05,0.012918295719011976,0.00017632325665229066,0.023642006974347065,6.699951290183612e-05,0.00016322716050588793,0.044887631798400926,7.483109569810927e-05,6.152684888900448e-05,0.10662382560418687,0.033678192827385836,0.012960992321035635,0.023642006974347065,0.010742180837148629,,6.655091187064607e-05,0.10660230273662374,7.022170936026835e-05,0.04324293847360996,0.02246317246441747,7.418712552335922e-05,0.11571939205351044,0.02948338025473748,0.033678192827385836,0.007395506311190261,0.04534400616645794,0.023642006974347065,5.957297043612521e-05,0.10431941082281464,0.023642006974347065,0.06313621045621674,7.760357341693384e-05,0.10431941082281464,0.0001917557667271231,9.018418484688399e-05,0.023642006974347065,8.06571803462808e-05,0.00013570160779681768,0.14679739538414074,5.204032662770505e-05,0.019784502109486103,0.041702771948242366
21314ce15b6d468f841259ed74570105,0.0001627384513283444,3.680305752330083e-05,0.0001627384513283444,0.07475618970894966,0.035429159808436014,0.00010353039248718469,0.01004771077054625,0.00010353039248718469,0.02802348508997905,0.00013216757787486773,0.00012337712147806825,0.027562845318080682,0.07325559278320361,0.05011166371178004,8.830459420616473e-05,0.09408044313267411,0.0002055650628290854,0.027562845318080682,7.81108478862997e-05,0.0001902970835604184,0.037309175659820386,8.724123624307668e-05,7.173058618401793e-05,0.0001490406779754473,0.00012193932481374601,4.692813122852797e-05,0.027562845318080682,0.1346039369541726,,0.1277596827292391,0.00012337712147806825,8.186741993471343e-05,0.1007586833584184,8.133287013127464e-05,0.03381281788510341,0.000110707290022597,7.824556353328794e-05,0.00012193932481374601,0.021105103603388894,6.970561869233594e-05,0.027562845318080682,6.945267256926105e-05,0.08647780315991671,0.027562845318080682,4.8900331559325686e-05,9.047350728481624e-05,0.08647780315991671,0.00022355693164647774,0.051091116528446,0.027562845318080682,0.17008540438684025,0.0001582066374135243,0.03786718117130235,0.11122375897832991,5.273380726555786e-05,6.660039262141824e-05
9c1d0ea2d2484a93aee45cf759d5cdaa,0.00014973173599583433,0.011793611638048769,0.00014973173599583433,0.03442368510728494,0.011359142469813673,0.07311262563212854,0.04674866617732674,0.07311262563212854,0.027486298388772624,0.10235020276769449,0.00011351632284989397,0.0253599112242631,0.024756541472693013,0.05444517773136804,8.124693383138913e-05,6.0003424863616085e-05,0.00018913547146513107,0.0253599112242631,7.186791295269716e-05,0.015376583819425934,0.014259121207246435,0.07182843838728492,6.599758757481276e-05,0.0001371287440989246,0.0001121934407110955,4.317744514915376e-05,0.0253599112242631,0.00014182198050724005,,7.138671512806085e-05,0.1143483688434814,7.532424456708344e-05,6.457707003988302e-05,0.04696539937987597,7.957780061976368e-05,0.026128210546489384,0.126286974298089,0.0001121934407110955,0.00014556125738335475,6.413446367637448e-05,0.0253599112242631,6.390173403066215e-05,0.10235540991226931,0.0253599112242631,0.1397055467767423,8.324249860320407e-05,0.10235540991226931,0.00020568935734672957,9.67372577138272e-05,0.0253599112242631,8.651799043120578e-05,0.00014556212298097882,0.14812063217176014,0.04846569885410407,0.03519889239454487,6.127741983416697e-05
4a3134adcb0542888bb058c421f36080,0.00028937050692107153,0.04417441332476091,0.00028937050692107153,0.14686020137676814,0.021952599379266545,0.08485180600436051,0.09133729090784544,0.08485180600436051,0.0001883292895170225,0.0002350114474852411,0.00021938085248543235,0.049010387261138454,0.17199246062618992,0.12612056020833523,0.00015701725671053403,0.00011596219969204174,0.0003655218908043882,0.049010387261138454,0.10076080475465564,0.031616275035161394,0.060130678880264334,0.00015512646550350386,0.00012754647667093566,0.00026501405282885164,0.00021682425970598584,0.06053597414665788,0.049010387261138454,0.0002740841687234036,,0.00013796146693050961,0.00021938085248543235,0.0001455711088157697,0.1524188475755959,0.00014462060851093666,0.00015379150152674127,0.03037585918430069,0.0001391309687362673,0.00021682425970598584,0.02924959902880411,0.00012394581644107732,0.049010387261138454,0.00012349604475368292,0.05545538787689439,0.049010387261138454,0.040077907050670394,0.1852341965395933,0.05545538787689439,0.00039751381500945446,0.00018695374842634099,0.049010387261138454,0.0001672040638703805,0.0002813123419385524,0.06734028512342122,0.013710054934520363,9.376768929381335e-05,0.00011842431347167134
7b8ea9ca04c9435f9e8fb404111fcdff,8.614343135864091e-05,0.018830009010158483,8.614343135864091e-05,0.029158777459991944,5.1423125038443675e-05,5.480243412639385e-05,0.11226594906764094,5.480243412639385e-05,0.032819694962794015,6.99611467331107e-05,6.53080357378426e-05,0.014590025002243429,0.05146554438479559,0.040752318188308774,4.6742860630421225e-05,0.015909832354714087,0.00010881312765981679,0.014590025002243429,4.134693680771648e-05,0.00010073122621992957,0.06391256350395963,4.617998625773765e-05,3.7969630267593665e-05,7.889269750342697e-05,6.454695722658878e-05,2.484078113240528e-05,0.014590025002243429,8.159280303349872e-05,,4.107009481760131e-05,0.13150814627477703,4.3335428179945456e-05,0.09992388786858593,4.3052471362276116e-05,4.5782577486117834e-05,5.860142923273422e-05,0.012143719743525723,6.454695722658878e-05,8.374407803719937e-05,3.689774070062687e-05,0.014590025002243429,0.08116459824687208,0.12562146382916028,0.014590025002243429,0.03215287600153614,0.1331660187055096,0.12562146382916028,0.00011833688374716974,5.565472986919799e-05,0.014590025002243429,4.977539678165138e-05,8.374457603148906e-05,0.12200406277354688,0.047635776250120096,2.7913938404728935e-05,3.525403064495319e-05
3fdc6b3f960c4625b9056e7854a149dc,0.0002381038877406343,0.018754239125369696,0.0002381038877406343,0.00010494957584344766,0.018063344857883915,0.023373967340107785,0.06577233056009797,0.023373967340107785,0.00015496374003887544,0.106486195464408,0.00018051402137842515,0.04032741232241095,0.007955545291823574,0.007731998726341043,0.00012919913526413679,0.06591541008367001,0.0003007638345070573,0.04032741232241095,0.00011428458612353732,0.024451893002007966,8.586687442758375e-05,0.11422181354276802,0.00010494957584344766,0.00021806256952669595,0.00017841036995025147,6.866091202607521e-05,0.04032741232241095,0.00022552576914482424,,0.0001135193837964807,0.00018051402137842515,0.00011978085576358965,0.14742080949794814,0.00011899875180874142,0.00012654487426728246,0.05133179196356937,0.00011448168962935033,0.00017841036995025147,0.00023147197924931634,0.00010198683023303822,0.04032741232241095,0.00010161674280255423,0.0696925548553871,0.04032741232241095,0.06589855693038267,0.00013237248877698597,0.0696925548553871,0.24004797444996748,0.00015383189807984817,0.04032741232241095,0.0001375811864076044,0.00023147335572543966,0.07383365267345895,0.011281099154784856,0.08217573129570724,9.744354993410433e-05
ab7d08aa2163476c831e2650ea8115a1,0.00018187248346166181,4.1130190290678445e-05,0.00018187248346166181,8.016433573603693e-05,0.00010856836453570392,0.07106846553807229,0.03459175029385876,0.07106846553807229,0.00011836698894256598,0.05365203187769763,0.00013788323105210225,0.03080355680142732,0.024072187118818325,0.04234226139746842,9.868703873152947e-05,0.10704755655228836,0.00022973444926206334,0.03080355680142732,0.03540360300617182,0.00021267133182197506,0.024434471686005873,9.749865607225643e-05,8.016433573603693e-05,0.00016656418946444304,0.10140143911013923,5.2445723190070725e-05,0.03080355680142732,0.00017226485509405125,,0.07759280786110713,0.2776498774335629,0.05022993885817989,0.05634193040285484,9.08956116830353e-05,9.665961681988408e-05,0.025414165414924646,0.2029334960085143,0.10140143911013923,0.0001768067884877085,0.04420946929475305,0.03080355680142732,7.761859560612083e-05,0.04644720610928384,0.03080355680142732,0.16131586816749324,0.07523531767979616,0.04644720610928384,0.00024984171854738717,0.00011750244653661151,0.03080355680142732,0.00010508955686103483,0.00017680783989066268,0.2409330590216429,0.14255341270212848,0.042754529841781685,0.03568475668142042
0567fc2f3154442d824cd33520b2f0c5,0.00019275839315556487,4.35920224968228e-05,0.00019275839315556487,8.496254216553334e-05,0.00011506668351972744,0.09412214546571174,0.1820671799121801,0.09412214546571174,0.03926154268380235,0.11807956370123139,0.00014613618044261937,0.03264729220993422,0.05760525517771804,0.030816873427470966,0.00010459391464339112,0.05336220526461406,0.00024348511907557887,0.03264729220993422,0.06711980092313515,0.11752598906855713,0.1979249131767109,0.00010333440178308701,8.496254216553334e-05,0.000176533826928212,0.00014443315714089206,0.04032483209423747,0.03264729220993422,0.0001825757037738211,,9.190028025269067e-05,0.00014613618044261937,9.696929145877085e-05,0.025878639499328848,9.633613463362327e-05,0.00010244514214906526,0.07104954398134608,0.09853835460990377,0.00014443315714089206,0.00018738949289748215,8.256403415035421e-05,0.03264729220993422,0.051133745754857914,0.06151407177283048,0.03264729220993422,0.11424958263739766,0.00010716292151621331,0.06151407177283048,0.09729851790427901,0.026024698317178716,0.03264729220993422,0.00011137965310862178,0.00018739060723176818,0.11945255488602131,7.186258560699157e-05,6.24614765011823e-05,7.888599504571015e-05
3994a8de9d37454e82ff942992a9bdb4,0.0004896397356971147,0.00011073129436507125,0.0004896397356971147,0.03332038582936438,0.06964271065436528,0.00031149733575727126,0.02497884728631459,0.00031149733575727126,0.00031866932302223997,0.0003976595412463941,0.00037121123286166103,0.08292978203028338,0.17280776480863455,0.0362315575207483,0.0002656866758594791,0.04948207106599254,0.0006184944136473005,0.08292978203028338,0.00023501621529480485,0.04291247227085453,0.01371920332251022,0.00026248729484197543,0.0002158195864213952,0.00044842652474785105,0.0003668852584348519,0.022620091825681962,0.08292978203028338,0.02295364612861681,,0.00023344264390657554,0.00037121123286166103,0.0002463188111466071,0.00021117433319080777,0.06157969644612222,0.00026022842120726366,0.00033309084475088006,0.05898932555251971,0.0003668852584348519,0.00047600179827547294,0.0002097269602514316,0.08292978203028338,0.05921736939190654,0.03969271683114383,0.08292978203028338,0.03528252025893106,0.042026872083997587,0.03969271683114383,0.0006726274954146258,0.08432816200965547,0.08292978203028338,0.1754077691651237,0.00047600462887774337,0.015405313618637685,0.14730566651440247,0.028669088600753918,0.00020038410329148513
