Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Bosnia y Herzegovina;BIH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1085000000,00;1334000000,00;2336999933,55;2672984372,30;4049326021,48;4412863888,89;4157033207,72;4365003065,52;4717671799,81;6961219561,45;7082920634,92;8039422648,95;8107497915,46;8907162351,29;11336685140,80;8584652319,06;8806994650,23;10403826142,58;9611646301,41;9850602810,40;10497185592,19;8719271335,41;8950555398,45;10313548461,45;11525260712,13;11131535115,33
Belarús;BLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9450000000,00;6000000000,00;9814814814,81;13570247933,88;12558744545,15;7552655203,37;7441153846,15;9276190109,38;9727865938,26;7481164884,98;9221273498,82;8685107913,67;9832808486,88;12298586055,58;17184722222,22;17848607242,34;23737156177,16;30431314072,69;41721254681,65;30401933404,94;36934306814,37;49102934673,37;48809523809,52;46436407657,66;43907521518,00;32689583071,71;29922094893,45;36435957149,51;41384766391,83;42210058322,98
Belice;BLZ;;;;;;;;;;;;;;;;;;;;;113599759,06;123637027,17;107602916,67;104498168,48;125848628,62;109048963,77;112664081,52;147241619,57;182372057,97;212186146,74;211293000,00;0,00;274248250,00;280961550,00;304594500,00;304557200,00;322397200,00;364499950,00;392227550,00;493526400,00;613013050,00;602427450,00;616695950,00;653017500,00;618982100,00;698550150,00;750575100,00;790029600,00;953288000,00;751680250,00;807676850,00;939713200,00;971664600,00;1051774550,00;1085325100,00;1142213050,00;1093669500,00;1073213700,00;1085444150,00;1090322900,00
Bermudas;BMU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1579023000,00;1498077000,00;1484189000,00;1594256000,00;1626299000,00;1552149000,00;1615949000,00;1703748000,00;1867590000,00;1917596000,00
Bolivia;BOL;89483964,67;94909764,77;113858328,19;126128983,79;126629826,88;161279461,28;177188552,19;196632996,63;206228956,23;216161616,16;247727272,73;267340067,34;302068446,78;357671164,42;562818590,70;774712643,68;816491754,12;956771614,19;1131534232,88;1211274646,75;1019575856,44;1345840130,51;1638789044,15;1303803479,69;1592839080,20;1228323587,76;1017851568,19;1043169574,42;1063833480,84;1092054033,17;1164632089,89;1440847064,74;1640403025,25;1627865935,15;1626751433,83;1825637772,64;2017479801,36;2326903298,25;2768710912,69;2260778163,93;2294564081,83;2056200184,66;2191068898,19;2131085361,40;2309688004,03;3064661856,41;3752334864,45;4495795419,81;6329651161,18;5705628917,38;6744572879,90;9199095474,63;10233217743,45;11386396505,06;13848955978,17;12231374700,29;10831641439,60;11927938894,36;12537987227,23;12853418146,55
Brasil;BRA;1079376914,94;1118302726,08;1033970196,04;2097486800,99;1204326396,15;1210637974,35;1621508461,20;1764834055,00;2239326014,75;2454948720,20;3153304260,32;4004245613,85;5177234171,79;7532763884,77;14596797400,19;14233481672,82;14401534168,39;13948797699,94;15791774010,83;20642227950,39;26571483279,66;25827534749,12;23307743170,81;18314364418,71;16563864377,33;15818492271,93;17038985216,65;18211636976,15;18807996682,17;23242900390,63;32160000000,00;47710000000,00;33590625000,00;39822360248,45;53957453464,73;72742324397,95;75733720724,31;84721451205,94;81259829211,55;68433801840,52;81611100027,33;81470191055,18;68004834965,37;72356034124,15;87897949128,21;105595458223,79;129232641290,86;167160252067,18;232727652852,00;187616483044,91;263001364256,48;323150406504,07;326310480774,15;347274708965,26;335819379515,51;253273317502,78;216687480308,20;243509744939,53;273547364661,45;269601911015,34
Barbados;BRB;;;;;;;;;;;;;;;;242949853,97;282486775,13;302530894,96;377933177,55;510366429,67;619897578,68;653706557,95;657634365,83;728682941,38;769203997,41;719733505,69;713319743,45;658579028,49;696315815,64;823397802,42;872719136,88;836821955,95;676900000,00;779893601,15;821061005,32;998458708,30;1073683687,17;1230845721,67;1286033908,42;1372743996,42;1448450000,00;1386450000,00;1381950000,00;1512750000,00;1734650000,00;2016750000,00;2294406000,00;2368287800,00;2568563450,00;2045378300,00;2240070050,00;2282372050,00;2173750450,00;2146912650,00;2114664750,00;2031609600,00;2035109800,00;2027176350,00;2019610150,00;2171296150,00
Brunei Darussalam;BRN;;;;;;;;;;;;;;;186302269,28;273689537,38;259834871,30;278757071,41;281002638,52;396394739,26;574911264,71;598759880,72;734579439,25;729768102,22;;;;;;1051120340,46;1312000000,00;1487034035,66;2004297114,79;2125263027,60;1978525599,06;2642867221,67;3102127659,57;3040140086,21;2325525812,62;2226548672,57;2149450696,06;2195267064,80;2432352284,15;2358621283,43;2502655957,87;2601040675,32;2892504248,22;3416827018,78;3974597798,48;3841055960,40;3832783278,33;5563240321,17;6758162612,04;7761349104,86;5855137332,28;4872585642,59;4302837544,34;4318030704,61;5693409148,19;6810627547,28
Bhután;BTN;;;;;;;;;;;;;;;;;;;;;51145038,17;70324480,37;71035940,80;75792079,21;76389964,79;88067906,22;105563838,22;96440586,42;139419540,23;104771410,97;91892632,78;100325417,77;140203703,70;103725644,47;106766337,26;129190255,94;144504092,58;168768107,96;186282113,43;212456107,76;212059054,29;227453441,41;264919938,28;316165538,86;436818186,23;527747498,87;531258319,91;685306961,56;729319253,79;786732031,41;1121423791,38;1282994611,16;1149629845,88;1119922590,95;1160601066,70;1357559582,80;1204449074,56;1291995465,41;1367485067,15;1274161853,90
Botswana;BWA;12056638,16;13991884,71;15982055,24;18034391,16;20214693,99;23174647,49;26220362,62;29776847,98;41701534,17;40662860,33;58626465,66;78159955,26;100052008,84;151275032,42;198233995,58;226572008,11;246722631,09;313004750,59;404552040,57;534969325,15;704902213,07;768136727,62;703068855,01;733430577,08;719192852,74;571113213,50;684183917,83;952022157,36;1161735754,13;1422750508,71;1887395861,33;1834537000,40;1723775892,31;1627109900,54;1718989793,64;2070052665,75;1799831538,42;2395831050,73;2517475567,33;2398365193,32;2320710337,53;2133671163,46;2158048610,89;2779825087,38;3706961580,26;3529325541,85;3455002315,49;4440003828,11;5586576630,68;5327109334,60;6554992934,53;8227896230,00;8829919507,89;9094678422,17;9005845155,47;8092732530,36;6915861409,75;6254190791,89;7310414754,90;7432128115,73
