Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Bosnia y Herzegovina;BIH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194000000,00;381000000,00;658000000,00;1022000000,00;1123990566,57;1295321568,63;1579685633,54;1632283629,21;1619401636,19;2535225100,98;2946920634,92;3549945952,82;4505419793,47;4276291112,67;5131401288,20;4405111158,46;5100738132,32;5973018693,58;5572979240,57;6133981399,77;6307817799,48;5761284944,71;6147510887,39;7382217932,47;8501630054,32;8076578902,18
Belarús;BLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9950000000,00;6000000000,00;10185185185,19;11008264462,81;10641993957,70;6939552977,46;6839769230,77;8457248497,92;8988770378,08;7186389618,72;8815283224,17;8246546762,59;9285958123,95;11615943442,22;15711851851,85;18063463324,05;22195244755,24;27593429636,53;37027902621,72;24865449337,63;29396844578,72;48458472361,81;51744692335,37;44058175675,68;43301115023,47;32749824186,86;29831121833,53;36551674170,68;42295053003,53;41905201262,07
Belice;BLZ;;;;;;;;;;;;;;;;;;;;;88973677,08;84972542,79;70947948,35;76516537,32;108649358,11;83652580,96;104359482,16;137936011,20;161076592,03;172914999,69;201789164,72;194000000,00;257665600,00;261401800,00;289455450,00;297425600,00;320713850,00;345342500,00;362282350,00;398031450,00;440767300,00;443480250,00;490171700,00;526733350,00;534853450,00;609026800,00;744269450,00;788432250,00;853628650,00;690190900,00;813293700,00;914738900,00;981551650,00;1032304100,00;1036213200,00;1013861000,00;933746650,00;1009694450,00;1079726300,00;1084579350,00
Bermudas;BMU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3370007000,00;3316640000,00;3221785000,00;3337183000,00;3281476000,00;3325330000,00;3403730000,00;3466748000,00;3703900000,00;3759931000,00
Bolivia;BOL;60602013,39;66695604,27;67363395,05;81303527,60;109517688,11;129713804,71;142255892,26;170033670,03;169696969,70;189814814,81;250168350,17;234343434,34;265513350,88;350024987,51;741229385,31;623738130,93;756121939,03;864117941,03;849175412,29;1068846706,17;1101141924,96;1386623164,76;1623181529,44;1536933903,21;1459225551,75;1024366575,84;844298528,59;853524588,17;862854857,38;1061010967,13;1108688320,49;1147700385,41;1131361363,93;1094220299,64;1295735742,88;1514377643,06;1670373428,45;1673157413,93;1673904647,83;1398595244,65;1534697177,97;1626040049,04;1710308647,14;2069144688,74;2731911668,35;3394519904,29;4783642093,96;5483666700,63;7487864968,29;6194300427,35;8093183282,34;10565709257,34;12774727339,09;13518462722,99;14285068717,78;10186598887,14;8311504860,39;9341206390,70;10470274257,46;10210442517,09
Brasil;BRA;1070544628,55;1109152823,35;770900519,67;2080325261,99;1354466134,89;1685625122,19;1846958711,61;1764834055,00;2032731102,65;2479930321,59;2975391707,00;3155632739,50;4249449495,77;6557708237,89;8424673828,04;9325921437,06;10741988183,04;12776590678,76;13404621904,91;16026612550,30;21276141967,61;24828388398,94;21435129573,29;23221079048,88;28317692072,55;27305943051,35;23640556197,18;27820190044,61;35974382968,36;38004000000,00;37880000000,00;52310000000,00;43538125000,00;45983167701,86;53941811356,17;57920041189,93;57235482141,08;61679566883,12;60724077380,44;57330907863,56;66774569991,80;69203919564,66;72286060356,89;84757339584,01;110743537333,33;135918581909,30;159215718705,47;186198863078,42;229512905442,25;180894503551,07;240006821282,40;303021879483,50;292804259894,53;290362691897,41;270452613684,66;232489103970,66;223864176667,72;258329886570,16;280742690897,15;263497852452,78
Barbados;BRB;;;;;;;;;;;;;;;;202627097,67;202690388,26;245539166,83;321101774,97;438572067,82;603440560,83;565753492,77;631531845,08;740714960,47;823546959,68;811763536,02;715905135,98;659623129,32;748670014,42;852533187,49;867846666,34;819569432,71;808900000,00;872470541,44;973599164,72;1038930045,24;1134340973,50;1161686471,44;1194252473,52;1230497688,06;1322800000,00;1251500000,00;1211100000,00;1378750000,00;1435900000,00;1711700000,00;2026229150,00;2273854150,00;2327059750,00;1946091200,00;2104601250,00;2071175100,00;1964175800,00;1963432350,00;1893703900,00;1954045850,00;2083292250,00;2100297550,00;2100093700,00;2188203000,00
Brunei Darussalam;BRN;;;;;;;;;;;;;;;966802084,62;1052165478,85;1332766715,23;1639747478,89;1844766930,52;2665317759,59;4601625256,87;4066833909,22;3809813084,11;3393752957,88;;;;;;1845357124,54;2176000000,00;2468163926,83;2421117249,85;2248421834,39;2087861725,81;2827007196,27;3065957446,81;2972117456,90;2044694072,66;2567551622,42;4042036716,94;3894175364,18;3922149447,11;4543527034,78;5416090226,01;6688037370,82;8227327081,63;8310397452,06;11269686706,18;7811357074,11;9239791712,50;12876222275,22;13364276568,50;12311381074,17;11657150749,80;6751036439,01;5652190834,72;6012294735,32;7045834309,44;7804997287,79
Bhután;BTN;;;;;;;;;;;;;;;;;;;;;18510178,12;22602771,36;20400634,25;19968316,83;21887323,94;25820533,55;35504361,62;59617283,95;79686063,22;77398028,34;80434037,69;80410290,24;80220293,21;74261397,18;79964297,10;114460067,84;112291843,07;131398512,81;124772176,44;130380863,91;129012507,79;125216999,36;128202190,91;158797507,51;218024620,48;313215333,33;488540499,26;657474450,10;613943620,53;565371973,73;673077343,64;750024105,16;706230865,39;727604108,00;714242710,49;689952055,98;639422224,47;737147921,73;754068095,25;860578270,75
Botswana;BWA;7991027,62;8954806,21;9953736,16;11044317,07;11989404,71;14519056,26;15062761,51;14435146,44;15271966,53;17615930,93;23729759,91;42086129,75;61760499,28;94799020,31;125239146,43;154834347,53;187442502,30;229869358,67;307353296,31;443742331,29;562918167,78;533763595,08;553753520,44;727778284,26;754544054,22;738988752,23;951599169,82;1476502471,86;1864978672,21;1826368554,27;2086912120,40;2090843886,03;1997772195,10;1959225785,15;2036914251,66;2404876993,00;2609469947,66;3056343815,05;2361177500,65;3027160280,25;3000196009,25;2671112100,25;2836767913,02;3667669548,88;4444139018,52;5249438114,41;5297497555,87;5963543363,52;4999047884,11;3573059775,54;5579516015,07;7668392266,97;7082259014,46;9167947445,50;9501307505,49;7183704916,58;8223888975,53;6904812503,62;7528334921,57;6160141513,03
